n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
3,Vittorio Alfieri,La vita,E.I.R,1964,-,"Biografia, Memorie",FALSE
8,Metz/Costa,Attraverso il cinema,Longanesi,1978,-,Saggistica,FALSE
17,Thomas Mann,I Buddenbrook,Mondadori,1970,9788852013133,"Narrativa, Classico",FALSE
18,Carlo Cassola,Il taglio del bosco,Einaudi,1965,-,"Narrativa, Racconti",FALSE
20,Cesare Pavese,La bella estate,Einaudi,1949,9788811007449,"Narrativa, Romanzo",FALSE
21,Antonio Fogazzaro,Malombra,Mondadori,-,-,"Fantasy, Gotico, Classico",FALSE
28,Eduardo de Filippo,Filumena Marturano,Einaudi,1964,-,"Poesia, Teatro",FALSE
29,Dino Buzzati,Il deserto dei tartari,Mondadori,2000,9788852031458,"Narrativa, Classico",FALSE
A1586,Woody Allen,Io e Annie,Feltrinelli,1991,8807811448,"Poesia, Teatro",FALSE
32,Natalia Ginzburg,Lessico famigliare,Einaudi,1963,9788806203054,"Narrativa, Biografia, Memorie",FALSE
33,Giorgio Bassani,Gli occhiali d’oro,Mondadori,1977,9788858826362,"Narrativa, Romanzo",FALSE
35,Giorgio Bassani,Le storie ferraresi,Einaudi,1960,9788806163907,"Narrativa, Racconti",FALSE
57,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 3),Mondadori,1964,1187081531,"Narrativa, Classico",FALSE
58,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 2),Mondadori,1964,1187081531,"Narrativa, Classico",FALSE
59,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 1),Mondadori,1964,1024506002,"Narrativa, Classico",FALSE
64,Erodoto,Storie di antichi popoli,Editrice Italiana di Cultura,1964,9791220346481,"Saggistica, Storia",FALSE
66,Carlo Goldoni,La locandiera,Signorelli,1966,9788852057977,"Poesia, Teatro",FALSE
76,Victor Hugo,I lavoratori del mare,San Paolo,1966,8818040189,"Narrativa, Classico",FALSE
77,I. S. Turgenev,Padri e figli,San Paolo,1961,-,"Narrativa, Classico",FALSE
79,W.H. Armstrong,Sounder,Bompiani,1971,9788845233043,"Ragazzi, Romanzo Storico",FALSE
