n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti,checked_isbn,isbn_type,authenticity,matched_title
3,Vittorio Alfieri,La vita,E.I.R,1964,-,"Biografia, Memorie",FALSE,9781445705750,ISBN-13,found-isbn-by-title,
8,Metz/Costa,Attraverso il cinema,Longanesi,1978,-,Saggistica,FALSE,8899782946,ISBN-10,found-isbn-by-title,
17,Thomas Mann,I Buddenbrook,Mondadori,1970,9788804491768,"Narrativa, Classico",FALSE,9788852013133,ISBN-13,found-isbn-by-title,
18,Carlo Cassola,Il taglio del bosco,Einaudi,1965,-,"Narrativa, Racconti",FALSE,1131122259,ISBN-10,found-isbn-by-title,
20,Cesare Pavese,La bella estate,Einaudi,1949,-,"Narrativa, Romanzo",FALSE,9788811007449,ISBN-13,found-isbn-by-title,
21,Antonio Fogazzaro,Malombra,Mondadori,-,-,"Fantasy, Gotico, Classico",FALSE,9788858802021,ISBN-13,found-isbn-by-title,
28,Eduardo de Filippo,Filumena Marturano,Einaudi,1964,-,"Poesia, Teatro",FALSE,8806006568,ISBN-10,found-isbn-by-title,
29,Dino Buzzati,Il deserto dei tartari,Mondadori,2000,9788804481072,"Narrativa, Classico",FALSE,9788851414931,ISBN-13,corrected-isbn-by-title,Tuttolegumi
A1586,Woody Allen,Io e Annie,Feltrinelli,1991,9788807811449,"Poesia, Teatro",FALSE,9788807811449,ISBN-13,ok,Io e Annie
32,Natalia Ginzburg,Lessico famigliare,Einaudi,1963,-,"Narrativa, Biografia, Memorie",FALSE,9788806203054,ISBN-13,found-isbn-by-title,
33,Giorgio Bassani,Gli occhiali d'oro,Mondadori,1977,9788804470106,"Narrativa, Romanzo",FALSE,9788858826362,ISBN-13,corrected-isbn-by-title,Fiabe classiche
35,Giorgio Bassani,Le storie ferraresi,Einaudi,1960,-,"Narrativa, Racconti",FALSE,9788806163907,ISBN-13,found-isbn-by-title,
57,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 3),Mondadori,1964,-,"Narrativa, Classico",FALSE,1187081531,ISBN-10,found-isbn-by-title,
58,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 2),Mondadori,1964,-,"Narrativa, Classico",FALSE,,invalid,not-found (No valid ISBN found in title results),
59,Miguel de Cervantes,Don Chisciotte della Mancia (Vol. 1),Mondadori,1964,-,"Narrativa, Classico",FALSE,1024506002,ISBN-10,found-isbn-by-title,
64,Erodoto,Storie di antichi popoli,Editrice Italiana di Cultura,1964,-,"Saggistica, Storia",FALSE,9791220346481,ISBN-13,found-isbn-by-title,
66,Carlo Goldoni,La locandiera,Signorelli,1966,-,"Poesia, Teatro",FALSE,9788898403103,ISBN-13,found-isbn-by-title,
76,Victor Hugo,I lavoratori del mare,San Paolo,1966,-,"Narrativa, Classico",FALSE,,invalid,not-found (No valid ISBN found in title results),
77,I. S. Turgenev,Padri e figli,San Paolo,1961,-,"Narrativa, Classico",FALSE,9788811137658,ISBN-13,found-isbn-by-title,
79,W.H. Armstrong,Sounder,Bompiani,1971,9788845233043,"Ragazzi, Romanzo Storico",FALSE,9781438123226,ISBN-13,corrected-isbn-by-title,Effetti collaterali
81,Beppe Fenoglio,I ventitre giorni della città di Alba,Einaudi,1952,-,"Romanzo Storico, Racconti",FALSE,9788858409039,ISBN-13,found-isbn-by-title,
91,Lew Wallace,Ben Hur,San Paolo,1966,-,"Romanzo Storico, Avventura",FALSE,1090317662,ISBN-10,found-isbn-by-title,
103,Vitaliano Brancati,Il bell'Antonio,Bompiani,1963,-,"Narrativa, Romanzo",FALSE,9791223908204,ISBN-13,found-isbn-by-title,
104,André Gide,I falsari,Bompiani,1953,-,"Narrativa, Romanzo",FALSE,8845214125,ISBN-10,found-isbn-by-title,
113,Herman Melville,Moby Dick (2 volumi),Garzanti,1946,-,"Narrativa, Avventura, Classico",FALSE,9781425046897,ISBN-13,found-isbn-by-title,
114,Herman Melville,Moby Dick (2 volumi),Garzanti,1946,-,"Narrativa, Avventura, Classico",FALSE,9781425046897,ISBN-13,found-isbn-by-title,
115,Primo Levi,Se questo è un uomo - La tregua,Einaudi,1996,9788806143947,"Biografia, Memorie, Romanzo Storico",FALSE,9782808689649,ISBN-13,corrected-isbn-by-title,Sul concetto di storia
118,John Steinbeck,L'inverno del nostro scontento,Mondadori,1962,-,"Narrativa, Romanzo",FALSE,8804477806,ISBN-10,found-isbn-by-title,
122,Lev Tolstoj,Guerra e pace,Mondadori,1945,-,"Romanzo Storico, Classico",FALSE,9788811131434,ISBN-13,found-isbn-by-title,
123,Lev Tolstoj,Guerra e pace,Mondadori,1945,-,"Romanzo Storico, Classico",FALSE,9788811131434,ISBN-13,found-isbn-by-title,
136,Natalia Ginzburg,Le piccole virtù,Einaudi,1962,-,"Narrativa, Saggistica",FALSE,9788858406748,ISBN-13,found-isbn-by-title,
141,James Hilton,"Addio, Mister Chips",Mondadori,1938,-,"Narrativa, Romanzo",FALSE,,invalid,not-found (No valid ISBN found in title results),
150,Carlo Emilio Gadda,Quel pasticciaccio brutto...,Garzanti,1957,-,"Giallo, Thriller, Classico",FALSE,8899545626,ISBN-10,found-isbn-by-title,
158,John Steinbeck,La valle dell'Eden,Mondadori,1954,-,"Narrativa, Classico",FALSE,8804495871,ISBN-10,found-isbn-by-title,
163,Margaret Mitchell,Via col vento,Mondadori,-,-,Romanzo Storico,FALSE,9788852047572,ISBN-13,found-isbn-by-title,
168,Arthur Miller,Morte di un commesso viaggiatore,Garzanti,1968,-,"Poesia, Teatro",FALSE,,invalid,not-found (No valid ISBN found in title results),
