inventory_number,author,title,publisher,category
618/292,Rondolino,Dizionario del cinema italiano 1945-1969 (due volumi),Einaudi 1969,Dizionario film
28,Eduardo de Filippo,Filumena Marturano,Einaude 1964,"Commedia, Napoli, crisi famiglia patriarcale"
507,William Shakespeare,Amleto,Economica Feltrinelli 1990,"tragedia, Danimarca, Ofelia, fantasma, monologo ""essere o non essere"""
204,William Shakespeare,Amleto,Einaudi 1965,"tragedia, Danimarca, Ofelia, fantasma, monologo ""essere o non essere"""
644,SamuelBeckett,Aspettando Godot,Einaudi 1969,"dramma, Vladimiro, Estragone, teatro dell'Assurdo, nonsenso"
32,Woody Allen,Io e Annie,Universale Economica Feltrinelli 1991,"Commedia romantica, nevrosi,Woody Allen: Alvy, Diane Keaton: Annie Hall"
2604,Sofocle,Edipo Re,Universale Economica Feltrinelli 1991,"tragedia, Tebe, pestilenza, incesto, profezia Sfinge"
2599,Eschilo,I Persiani,Feltrinelli 1991,"Tragedia, Susa, Atossa Serse, battaglia di Salamina"
168,Arthur Miller,Morte di un commesso viaggiatore,Garzanti 1968,"Dramma, sogno americano, felicità materiale, Willy Loman"
699,Dario Fo,Teatro comico,Garzanti 1962,Raccolta commedie
1016,Dario Fo,Le commedie di D. Fo,Einaudi 1975,Raccolta commedie
855,Dario Fo,Morte accidentale di un anarchico,Einaudi 1974,"Commedia, anarchico Pinelli"
547,Bertold Brecht,Vita di Galileo,Einaudi 1963,opera teatrale
66,Carlo Goldoni,La locandiera,Signorelli 1966,"Commedia, Mirandolina, Firenze, Marchese, Conte, Cavaliere"
248,Luigi Pirandello,Il berretto a sonagli. La giara. Il piacere dell’onestà,Oscar Mondadori 1969,Opere teatrali
539,Marco Paolini,Il sergente,Einaudi stile libero 2008,"Sergente nella neve, Mario Rigoni Stern, teatro civile sulla guerra."
326,Gian Luigi Rondi,7 domande a 49 registi,Società editrice internazionale 1975,Saggio sulla regia cinematografica
1130,Atti convegno di Pisa,Il linguaggio cinematografico,Plan 2002,"Saggio, cinema"
1629,Brunetta,Letteratura e cinema,Zanichelli 1976,"Saggio, cinema"
8,Metz/Costa,Attraverso il cinema,Longanesi 1978,"Saggio, cinema"
1833,Rolf-Ulrich,Guida alla musica,Oscar Mondadori 1969,"Saggio, musica"
150,Carlo Emilio Gadda,Quel pasticciaccio brutto de via Merulana,Garzanti 1957,"Romanzo, Roma, Fascismo, ""Palazzo degli Ori"", Francesco ""Don Ciccio"" Ingravallo"
601,Carlo EmilioGadda,Quel pasticciaccio brutto de via Merulana,Garzanti 1991,"Romanzo, Roma, Fascismo, ""Palazzo degli Ori"", Francesco ""Don Ciccio"" Ingravallo"
2675,Carlo Emilio Gadda,Il primo libro delle favole,Oscar Mondadori 1990,Raccolta fiabe
177,Oscar Wilde,Il ritratto di Dorian Gray,Sansoni 1965,"Romanzo, Londra vittoriana, dandy, estetismo, bellezza, Faust"
550,Oscar Wilde,De profundis,Feltrinelli 1992,"Lettera, Processo per omosessualità, Alfred Douglas"
174-6,Fëdor Dostoevskij,I fratelli Karamazov (tre volumi),Oscar Mondadori 1969,"Romanzo, Fëdor, Dmitrij, patricidio"
76,Victor Hugo,I lavoratori del mare,Edizioni paoline 1966,"Gilliat, emarginato sociale, guerre Napoleoniche,"
18,Carlo Cassola,Il taglio del bosco,Einaudi 1965,"Racconto lungo, Appennino toscano, Guglielmo, taglialegna"
A1131,Carlo Cassola,Il taglio del bosco,Oscar Mondadori,"Racconto lungo, Appennino toscano, Guglielmo, taglialegna"
594,Carlo Cassola,La ragazza di Bube,Rizzoli 1973,"Romanzo, Neorealismo,Valdelsa, Liberazione, Mara, Bube"
502,Carlo Cassola,Fausto e Anna,Rizzoli 1992,"Romanzo autobiografico amore, fascismo, guerra partigiana"
541,Ignazio Silone,Fontamara,Oscar Mondadori 1997,"Romanzo, Marsica, contadini analfabeti,bolletta, carta bianca"
81,BeppeFenoglio,I ventitre giorni della città di Alba,Einaudi 1952,"Raccolta di racconti, guerra partigiana,Italia contadina nel dopoguerra"
346,Beppe Fenoglio,La malora,Einaudi 1968,"Romanzo breve, Agostino, Langhe, realtà contadina nel dopoguerra"
57/58/59,Miguel de Cervantes,Don Chisciotte della Mancia,Mondadori 1964,"Romanzo, Spagna, Hidalgo, cavalieri, letteratura, pazzia"
184,Peter Weiss,Colloquio dei tre viandanti,Einaudi 1969,"Romanzo incompiuto, Germania"
771,Luciano De Maria,Marinetti e il Futurismo,-,Raccolta di testi sul Futurismo
